fhrs_address,fhrs_lat,fhrs_lng,matched_address2,matched_lat,matched_lng
"Boots co plc, 20 Rye Lane, London, SE15 5BS",51.472256,-0.070053,"BOOTS THE CHEMISTS LTD, 20 RYE LANE, LONDON, SE15 5BS",51.47230959,-0.070081439
"Bottles off licence, 27 Peckham High Street, London, SE15 5EB",51.473716,-0.07241,"BOTTLES OFF LICENCE, 27 PECKHAM HIGH STREET, LONDON, SE15 5EB",51.47370559,-0.072398469
"Bp  connect, 95 Peckham Road, London, SE15 5LJ",51.474559,-0.075586,"LISTER PRIMARY CARE CENTRE, 101 PECKHAM ROAD, LONDON, SE15 5LJ",51.47454911,-0.075574099
"Brayards chicken, 128 Brayards Road, London, SE15 2BU",51.46946,-0.057544,"BRAYARDS CHICKEN, 128 BRAYARDS ROAD, LONDON, SE15 2BU",51.46952864,-0.056880284
"Breakfast club, Oliver Goldsmith Primary Schoo, Peckham Road, London, SE5 8UH",51.474304,-0.079787,"OLIVER GOLDSMITH PRIMARY SCHOOL, 83 PECKHAM ROAD, LONDON, SE5 8UH",51.47472285,-0.077942787
"Brick brewery, Railway Arch 209, Blenheim Grove, London, SE15 4QL",51.469437,-0.070302,"RAILWAY ARCH 209, BLENHEIM GROVE, LONDON, SE15 4QL",51.46939919,-0.070823386
"Burger king, 46 Peckham High Street, London, SE15 5DP",51.473214,-0.070891,"BURGER KING (UK) LTD, 46 PECKHAM HIGH STREET, LONDON, SE15 5DP",51.47322101,-0.070820548
"Butt seafood ltd, 30 Rye Lane, London, SE15 5BS",51.472256,-0.070053,"UK FOODS, 30 RYE LANE, LONDON, SE15 5BS",51.47189645,-0.070113274
"Cafe al ayaan, Unit 17, 137, Rye Lane, London, SE15 4ST",51.469866,-0.068008,"SOUTH LONDON TEMPLE, 117 RYE LANE, LONDON, SE15 4ST",51.47025921,-0.068440133
"Cafe culture, 42 Peckham Road, London, SE5 8PX",51.473666,-0.079771,"CULTURE CAFE, 42 PECKHAM ROAD, LONDON, SE5 8PX",51.47340947,-0.0812091
"Cafe spice, 88 Rye Lane, London, SE15 4RZ",51.469024,-0.068174,"CAFE SPICE, 88 RYE LANE, LONDON, SE15 4RZ",51.46959517,-0.068525773
"Cafe viva ltd, 44 Choumert Road, London, SE15 4SE",51.468194,-0.068554,"CAFE VIVA, 44 CHOUMERT ROAD, LONDON, SE15 4SE",51.46812118,-0.069120746
"Cafe world, 131 Peckham High Street, London, SE15 5SL",51.474167,-0.066488,"CAFE WORLD, 131 PECKHAM HIGH STREET, LONDON, SE15 5SL",51.47417747,-0.067194634
"Camberwell college of art & design - senior common room club, 45 Peckham Road, London, SE5 8UF",51.474068,-0.080733,"CAMBERWELL COLLEGE OF ARTS, 45 PECKHAM ROAD, LONDON, SE5 8UF",51.47411664,-0.079912243
"Canavans peckham pool club, 188 Rye Lane, London, SE15 4NF",51.467136,-0.066583,"CANAVANS SNOOKER CLUB, 188 RYE LANE, LONDON, SE15 4NF",51.46719193,-0.066755569
"Capital catering, Peckham Bus Garage, Blackpool Road, London, SE15 3SU",51.469799,-0.063951,"BUILDBASE LTD, 1 BLACKPOOL ROAD, LONDON, SE15 3SU",51.468823,-0.063691805
"Carnation supermarket, 151a, Rye Lane, London, SE15 4TL",51.468604,-0.067241,"COSY PRICE SUPERMARKET, 151A RYE LANE, LONDON, SE15 4TL",51.46896064,-0.06767428
"Chartwells, Harris Primary Free School Pec, 112 Peckham Road, London, SE15 5DZ",51.473788,-0.074063,"THE ACADEMY AT PECKHAM, 112 PECKHAM ROAD, LONDON, SE15 5DZ",51.47293749,-0.073813195
"Chartwells, Hollydale Road Primary School, Hollydale Road, London, SE15 2AR",51.467318,-0.052595,"247A HOLLYDALE ROAD, LONDON, SE15 2AR",51.46724748,-0.052182769
"Chartwells, St Thomas The Apostle College, Hollydale Road, London, SE15 2EB",51.470753,-0.056351,"ST. THOMAS THE APOSTLE COLLEGE, HOLLYDALE ROAD, LONDON, SE15 2EB",51.47074267,-0.056339141
"Cheung's, 289 Rye Lane, London, SE15 4UA",51.46589,-0.0657,"CHEUNG TAKE AWAY, 289 RYE LANE, LONDON, SE15 4UA",51.46587938,-0.065688062
"Chick chicken, 117 Peckham High Street, London, SE15 5SE",51.474117,-0.068362,"CHICK KING, 117 PECKHAM HIGH STREET, LONDON, SE15 5SE",51.47410657,-0.068349616
"China ho lok, 30 Ivanhoe Road, London, SE5 8DJ",51.46495,-0.079115,"SEASON CHINESE, 30 IVANHOE ROAD, LONDON, SE5 8DJ",51.46542677,-0.079729959
"Christine's meat shop, 211 Rye Lane, London, SE15 4TP",51.467685,-0.066603,"LOBA MEAT, 211 RYE LANE, LONDON, SE15 4TP",51.46761877,-0.066463969
"Cod fella, 125 Bellenden Road, London, SE15 4QY",51.467913,-0.072281,"COD FELLAS, 125 BELLENDEN ROAD, LONDON, SE15 4QY",51.46776841,-0.072274364
"Convenience store, 64 Nunhead Lane, London, SE15 3QE",51.464633,-0.059865,"NUNHEAD MINI MARKET, 64 NUNHEAD LANE, LONDON, SE15 3QE",51.46451685,-0.058878401
"Copeland park cafe, The Clf Art Cafe, 133 Copeland Road, London, SE15 3SN",51.469911,-0.064162,"P R FREDDI, 131 COPELAND ROAD, LONDON, SE15 3SN",51.46995715,-0.067146802
"Copleston centre, Copleston Centre, Copleston Road, London, SE15 4AN",51.466197,-0.077306,"COPLESTON CENTRE, COPLESTON ROAD, LONDON, SE15 4AN",51.46582254,-0.076992274
"Criterion  restaurant, 129 Peckham High Street, London, SE15 5SL",51.474167,-0.066488,"THE CRITERION, 129 PECKHAM HIGH STREET, LONDON, SE15 5SL",51.47417913,-0.067295362
"Crossroads cafe, 190 Bellenden Road, London, SE15 4BW",51.466859,-0.073218,"CROSSROADS CAFE, 190 BELLENDEN ROAD, LONDON, SE15 4BW",51.46690878,-0.07304487
"Crossways cafe, 93 Evelina Road, London, SE15 3HL",51.466607,-0.056326,"CROSSWAYS CAFE, 93 EVELINA ROAD, LONDON, SE15 3HL",51.46676037,-0.055342177
"Cuisine africana, The Aylesham Centre, Rye Lane, London, SE15 5EW",51.472746,-0.068693,"TIGER MANAGEMENT, AYLESHAM CENTRE, RYE LANE, LONDON, SE15 5EW",51.47273616,-0.068681094
"Cynthia a's cakes sugarcraft, Unit 10, 137, Rye Lane, London, SE15 4ST",51.469866,-0.068008,"JENS NURSERY, 133 RYE LANE, LONDON, SE15 4ST",51.46993345,-0.067389267
"Dans food, 97 Queens Road, London, SE15 2EZ",51.473961,-0.059484,"DANS FOOD, 97 QUEENS ROAD, LONDON, SE15 2EZ",51.47410125,-0.060401135
"Daphanies taste of the caribbean, 173 Peckham High Street, London, SE15 5SL",51.474167,-0.066488,"DAPHNES, 173 PECKHAM HIGH STREET, LONDON, SE15 5SL",51.47418161,-0.065264878
"Ddk jerk centre, 8 Blenheim Grove, London, SE15 4QL",51.469437,-0.070302,"PEACE UNISEX HAIR, 8 BLENHEIM GROVE, LONDON, SE15 4QL",51.46982694,-0.068947939
"Delight cafe - uckg help centre, 178 Rye Lane, London, SE15 4NF",51.467202,-0.066768,"U C K G HELP CENTRE, 176 RYE LANE, LONDON, SE15 4NF",51.46746532,-0.066974377
"Delta express pizza, 9 Peckham High Street, London, SE15 5EB",51.473716,-0.07241,"DELTA EXPRESS CHICKEN, 9 PECKHAM HIGH STREET, LONDON, SE15 5EB",51.47389502,-0.072980874
"Dennis butchers, 135 Peckham High Street, London, SE15 5SL",51.474167,-0.066488,"DENNIS BUTCHERS, 135 PECKHAM HIGH STREET, LONDON, SE15 5SL",51.47416611,-0.067051115
"Destiny kids nursery, Copleston Centre, Copleston Road, London, SE15 4AN",51.466197,-0.077306,"COPLESTON CENTRE, COPLESTON ROAD, LONDON, SE15 4AN",51.46582254,-0.076992274
"Dixie chicken, 16 Peckham High Street, London, SE15 5DT",51.473393,-0.072453,"DIXIE FRIED CHICKEN, 16 PECKHAM HIGH STREET, LONDON, SE15 5DT",51.47326762,-0.072560927
"East dulwich community nursery, 6 Whaddon House Dog Kennel H, Albrighton Road, London, SE22 8AQ",51.464603,-0.080986,"EAST DULWICH COMMUNITY NURSERY, 6 WHADDON HOUSE, EAST DULWICH ESTATE, LONDON, SE22 8AQ",51.46459285,-0.0809743
"East dulwich estate community project & tenants as, Albrighton Community Centre, 37 Albrighton Road, London, SE22 8AH",51.464622,-0.081619,"ALBRIGHTON COMMUNITY CENTRE, 37 ALBRIGHTON ROAD, LONDON, SE22 8AH",51.46461219,-0.081606948
"F c soper, 141 Evelina Road, London, SE15 3HB",51.466101,-0.056707,"F C SOPERS, 141 EVELINA ROAD, LONDON, SE15 3HB",51.46570475,-0.057301886
"Flock and herd, 155 Bellenden Road, London, SE15 4DH",51.466882,-0.072468,"FLOCK X HERD, 155 BELLENDEN ROAD, LONDON, SE15 4DH",51.46670399,-0.072621574
"Forza win ltd, Unit 4.1 Copeland Industrial P, 133 Copeland Road, London, SE15 3SN",51.469911,-0.064162,"P R FREDDI, 131 COPELAND ROAD, LONDON, SE15 3SN",51.46995715,-0.067146802
"Four quarters, 187 Rye Lane, London, SE15 4TP",51.467685,-0.066603,"THE FOUR QUARTERS, 187 RYE LANE, LONDON, SE15 4TP",51.46806598,-0.066862602
"Frank's cafe and campari bar, Level 10 Peckham Rye Car Park, 95A, Rye Lane, London, SE15 4ST",51.469866,-0.068008,"PREMIER CINEMA, 95A RYE LANE, LONDON, SE15 4ST",51.47104814,-0.068838777
"Fresh fish & seafood, 77 Rye Lane, London, SE15 5EX",51.471369,-0.069169,"RYE LANE FRESH FISH, 77 RYE LANE, LONDON, SE15 5EX",51.47125957,-0.069117827
"Fresh fruit & vegetable for you, 161 Peckham Hill Street, London, SE15 5JZ",51.474661,-0.06867,"HILL STREET FRUIT & VEG, 161 PECKHAM HILL STREET, LONDON, SE15 5JZ",51.47455212,-0.068647593
"Frog on the green, 119 Consort Road, London, SE15 3RU",51.467895,-0.061886,"119 CONSORT ROAD, LONDON, SE15 3RU",51.4678393,-0.061847332
"Full garden, 230 Rye Lane, London, SE15 4NL",51.466439,-0.066325,"FULL GARDEN CHINESE TAKEAWAY, 230 RYE LANE, LONDON, SE15 4NL",51.46627861,-0.066448636
"Fung sing, 40 Peckham Road, London, SE5 8PX",51.473666,-0.079771,"DRAGON WOK, 40 PECKHAM ROAD, LONDON, SE5 8PX",51.47347379,-0.081292799
"Ganapati south indian restaurant, 38 Holly Grove, London, SE15 5DF",51.469729,-0.071657,"GNAPATTI RESTAURANT, 38 HOLLY GROVE, LONDON, SE15 5DF",51.46969694,-0.073071379
"Ganapati takeaway kitchen, 4 Maxted Road, London, SE15 4LL",51.465971,-0.072262,"GNAPATTI TAKE AWAY, 4 MAXTED ROAD, LONDON, SE15 4LL",51.46617757,-0.072874113
"General store (london) limited, Part Ground Floor, 174 Bellenden Road, London, SE15 4BW",51.466859,-0.073218,"THE GENERAL STORE, 174 BELLENDEN ROAD, LONDON, SE15 4BW",51.46721101,-0.07283057
"Ghana mini market, 1 Choumert Road, London, SE15 4SE",51.468211,-0.068496,"GHANA MINI MARKET, 1 CHOUMERT ROAD, LONDON, SE15 4SE",51.46808021,-0.067725876
"God bless new cafe, 14 Choumert Road, London, SE15 4SE",51.468211,-0.068496,"GOD BLESS, 14 CHOUMERT ROAD, LONDON, SE15 4SE",51.46821551,-0.068296079
"Goitom behr, 144, Rye Lane, London, SE15 4RZ",51.469024,-0.068174,"BIG GIRL, 104 RYE LANE, LONDON, SE15 4RZ",51.46920425,-0.068268716
"Golden noodle, 177 Queens Road, London, SE15 2ND",51.473679,-0.057091,"GOLDEN NOODLES, 177 QUEENS ROAD, LONDON, SE15 2ND",51.47353272,-0.056479743
"Golden taste, 18a, Peckham Rye, London, SE15 4JR",51.465565,-0.066722,"28A PECKHAM RYE, LONDON, SE15 4JR",51.46576143,-0.066715251
"Gosling nursery, 106 Evelina Road, London, SE15 3HL",51.466607,-0.056326,"GOSLINGS NURSERY, 106 EVELINA ROAD, LONDON, SE15 3HL",51.46645762,-0.056607626
"Gosnells beverages ltd, Unit 10 Print Village, 58 Chadwick Road, London, SE15 4PU",51.467827,-0.074127,"91 CHADWICK ROAD, LONDON, SE15 4PU",51.46781073,-0.074302674
"Gowlett arms, 62 Gowlett Road, London, SE15 4HY",51.463105,-0.070252,"GOWLETT ARMS, 62 GOWLETT ROAD, LONDON, SE15 4HY",51.46380939,-0.070497675
"Greenhive, 50 Brayards Road, London, SE15 2BQ",51.469175,-0.059355,"GREENHIVE HOUSE, 50 BRAYARDS ROAD, LONDON, SE15 2BQ",51.46863057,-0.061842595
"Greggs, Unit 8 The Aylesham Centre, Rye Lane, London, SE15 5EW",51.472746,-0.068693,"TIGER MANAGEMENT, AYLESHAM CENTRE, RYE LANE, LONDON, SE15 5EW",51.47273616,-0.068681094
"Greggs the bakers, 66 Peckham High Street, London, SE15 5DP",51.473214,-0.070891,"GREGGS, 66 PECKHAM HIGH STREET, LONDON, SE15 5DP",51.47306657,-0.070179086
"Gregsons pharmacy ltd, 60 Nunhead Lane, London, SE15 3QE",51.464633,-0.059865,"SHEEL PHARMACY, 60 NUNHEAD LANE, LONDON, SE15 3QE",51.46444686,-0.058996545
"Guidetti fine foods & wines, Unit C Astbury Business Park, Astbury Road, London, SE15 2NW",51.475812,-0.055027,"64 ASTBURY ROAD, LONDON, SE15 2NW",51.47581255,-0.055677219
"H barry, 60 Gibbon Road, London, SE15 3XE",51.466568,-0.051835,"BERRY, 62 GIBBON ROAD, LONDON, SE15 3XE",51.46643322,-0.051886305
"H.a smith & son, 111, Evelina Road, London, SE15 3HB",51.466101,-0.056707,"H A SMITH BUTCHERS, 113 EVELINA ROAD, LONDON, SE15 3HB",51.46621944,-0.056344196
"Hagi vegetable & grocery, 143 Peckham High Street, London, SE15 5SL",51.474167,-0.066488,"HAGI VEG GROCERS, 143 PECKHAM HIGH STREET, LONDON, SE15 5SL",51.47416964,-0.06671977
"Haji baba halal meats, 174 Rye Lane, London, SE15 4NB",51.467853,-0.067518,"RYE LANE NEWS, 164 RYE LANE, LONDON, SE15 4NB",51.46777916,-0.067465037
"Harte's irish meat market, 59 Rye Lane, London, SE15 5EX",51.471369,-0.069169,"HARTES BUTCHERS, 59 RYE LANE, LONDON, SE15 5EX",51.4717692,-0.069485084
"Hax international, 156, Rye Lane, London, SE15 4NB",51.467853,-0.067518,"HAX, 156 RYE LANE, LONDON, SE15 4NB",51.46796126,-0.067601321
"Highshore school, Highshore School, Bellenden Road, London, SE15 5BB",51.471856,-0.072532,"40 BELLENDEN ROAD, LONDON, SE15 5BB",51.47260452,-0.072704071
"Holland & barrett ltd, Unit 9 Aylesham Centre, Rye Lane, SE15 5EW",51.472746,-0.068693,"HOLLAND & BARRETT LTD, UNIT 9, AYLESHAM CENTRE, RYE LANE, LONDON, SE15 5EW",51.47273616,-0.068681094
"Hollydale tavern, 115 Hollydale Road, London, SE15 2TF",51.468976,-0.056009,"HOLLYDALE TAVERN, 115 HOLLYDALE ROAD, LONDON, SE15 2TF",51.46961771,-0.056286164
"Hoopers, 28 Ivanhoe Road, London, SE5 8DH",51.466227,-0.079104,"28 IVANHOE ROAD, LONDON, SE5 8DH",51.46571649,-0.079601899
"Iceland frozen foods, 74 Rye Lane, London, SE15 5DQ",51.470269,-0.068985,"ICELAND FOODS PLC, 74 RYE LANE, LONDON, SE15 5DQ",51.47039957,-0.069099423
"Il giardino restaurant, 7 Blenheim Grove, London, SE15 4QS",51.469116,-0.070488,"IL GIARDINO RESTAURANT, 7 BLENHEIM GROVE, LONDON, SE15 4QS",51.4694786,-0.069092232
"In house catering john donne primary school, John Donne Primary School, Woods Road, London, SE15 2SW",51.472599,-0.060852,"JOHN DONNE PRIMARY SCHOOL, WOODS ROAD, LONDON, SE15 2SW",51.47304639,-0.061324249
"Isatus kitchen, 4 Station Way, London, SE15 4RX",51.469985,-0.069227,"3 STATION WAY, LONDON, SE15 4RX",51.46997522,-0.06921525
"Iss caterhouse, 83 Peckham Road, London, SE5 8UH",51.474265,-0.079573,"OLIVER GOLDSMITH PRIMARY SCHOOL, 83 PECKHAM ROAD, LONDON, SE5 8UH",51.47472285,-0.077942787
"Iss caterhouse, St James The Great School, Peckham Road, London, SE15 5LP",51.474366,-0.073117,"ST. JAMES THE GREAT CATHOLIC PRIMARY SCHOOL, PECKHAM ROAD, LONDON, SE15 5LP",51.47434694,-0.073120227
"Iss caterhouse ltd, St Johns And St Clements Prima, Adys Road, London, SE15 4DY",51.463147,-0.071747,"ST. JOHNS & ST. CLEMENTS PRIMARY SCHOOL, ADYS ROAD, LONDON, SE15 4DY",51.46309333,-0.071794757
"Iya pupa, 30 Choumert Road, London, SE15 4SE",51.468194,-0.068554,"TESSAS BARGAIN, 30 CHOUMERT ROAD, LONDON, SE15 4SE",51.46817721,-0.068700839
"J & j butchers, 132 Rye Lane, London, SE15 4RZ",51.469024,-0.068174,"J & J BUTCHERS, 132 RYE LANE, LONDON, SE15 4RZ",51.4685338,-0.067965878
"J & t fish & seafood, 7C, Choumert Road, London, SE15 4SE",51.468211,-0.068496,"J & T FISH, 7C CHOUMERT ROAD, LONDON, SE15 4SE",51.46793339,-0.068639146
"J f ayre ltd, 131, Evelina Road, London, SE15 3HB",51.466101,-0.056707,"J F AYRE LTD, 131 EVELINA ROAD, LONDON, SE15 3HB",51.46599414,-0.056857675
"Jaffa food store, 168 Rye Lane, London, SE15 4NB",51.467853,-0.067518,"JAFFA FOODS, 168 RYE LANE, LONDON, SE15 4NB",51.4677345,-0.067352605
"Jamaica spice ltd, 207 Rye Lane, London, SE15 4TP",51.467685,-0.066603,"TASTY BAKERY, 207 RYE LANE, LONDON, SE15 4TP",51.46767482,-0.06659118
"Jb's soul food, 27a, Peckham High Street, London, SE15 5EB",51.473716,-0.07241,"RAM JAM TAKEAWAY, 27A PECKHAM HIGH STREET, LONDON, SE15 5EB",51.47370559,-0.072398469
"Jenny's, 12 Station Way, London, SE15 4RX",51.469985,-0.069227,"JENNYS, 12 STATION WAY, LONDON, SE15 4RX",51.4700244,-0.068925203
"Jerkiz caribbean cuisine, 100 Evelina Road, London, SE15 3HL",51.466607,-0.056326,"NKEMS AFRICAN QUISINE, 100 EVELINA ROAD, LONDON, SE15 3HL",51.46658152,-0.056487182
"Julian supermarket, 137 Brayards Road, London, SE15 2BX",51.469697,-0.057735,"JULIAN SUPERMARKET, 137 BRAYARDS ROAD, LONDON, SE15 2BX",51.46973468,-0.057375476
"K & k butchers, 146, Rye Lane, London, SE15 4RZ",51.469024,-0.068174,"K & K BUTCHERS, 146 RYE LANE, LONDON, SE15 4RZ",51.46827011,-0.067789843
"K&a centre ltd, 90 Rye Lane, London, SE15 4RZ",51.469024,-0.068174,"K & A FOODS, 90 RYE LANE, LONDON, SE15 4RZ",51.46953202,-0.068514042
"Kairos, John Kitchen Centre, 22 Linden Grove, London, SE15 3LF",51.463226,-0.059622,"JOHN KITCHEN CENTRE MAINTENANCE, 22 LINDEN GROVE, LONDON, SE15 3LF",51.46341731,-0.059817642
"Kam foh, 19 Peckham High Street, London, SE15 5EB",51.473716,-0.07241,"KAM FOH, 19 PECKHAM HIGH STREET, LONDON, SE15 5EB",51.4737815,-0.072640064
"Kapadokya, 44 Peckham Rye, London, SE15 4JR",51.465565,-0.066722,"KAPADOKYA FISH SHOP, 44 PECKHAM RYE, LONDON, SE15 4JR",51.46538448,-0.066759978
"Kashmir grocers, 18 Choumert Road, London, SE15 4SE",51.468211,-0.068496,"KASMIR GROCERS, 18 CHOUMERT ROAD, LONDON, SE15 4SE",51.46820794,-0.068382787
"Katies, 165 Peckham Hill Street, London, SE15 5JZ",51.474661,-0.06867,"KATIES, 165 PECKHAM HILL STREET, LONDON, SE15 5JZ",51.47446131,-0.068593829
"Katies kebab, 130 Peckham Hill Street, London, SE15 5JT",51.475275,-0.06935,"KATIES KEBABS, 130 PECKHAM HILL STREET, LONDON, SE15 5JT",51.47408957,-0.068955127
"Keerthanaa store, 97 Azenby Road, London, SE15 5AJ",51.469645,-0.077521,"7 AZENBY ROAD, LONDON, SE15 5AJ",51.46957128,-0.077468179
