classification_code,classification_desc,fhrs_address,matched_address,matched_lat,matched_lng,uprn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"Fresh fish & seafood, 77 Rye Lane, London, SE15 5EX","RYE LANE FRESH FISH, 77 RYE LANE, LONDON, SE15 5EX",51.47125957,-0.069117827,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"Fresh fruit & vegetable for you, 161 Peckham Hill Street, London, SE15 5JZ","HILL STREET FRUIT & VEG, 161 PECKHAM HILL STREET, LONDON, SE15 5JZ",51.47455212,-0.068647593,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"Frog on the green, 119 Consort Road, London, SE15 3RU","119 CONSORT ROAD, LONDON, SE15 3RU",51.4678393,-0.061847332,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"Full garden, 230 Rye Lane, London, SE15 4NL","FULL GARDEN CHINESE TAKEAWAY, 230 RYE LANE, LONDON, SE15 4NL",51.46627861,-0.066448636,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"Fung sing, 40 Peckham Road, London, SE5 8PX","DRAGON WOK, 40 PECKHAM ROAD, LONDON, SE5 8PX",51.47347379,-0.081292799,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR07,Restaurant / Cafeteria,"Ganapati south indian restaurant, 38 Holly Grove, London, SE15 5DF","GNAPATTI RESTAURANT, 38 HOLLY GROVE, LONDON, SE15 5DF",51.46969694,-0.073071379,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"Ganapati takeaway kitchen, 4 Maxted Road, London, SE15 4LL","GNAPATTI TAKE AWAY, 4 MAXTED ROAD, LONDON, SE15 4LL",51.46617757,-0.072874113,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"General store (london) limited, Part Ground Floor, 174 Bellenden Road, London, SE15 4BW","THE GENERAL STORE, 174 BELLENDEN ROAD, LONDON, SE15 4BW",51.46721101,-0.07283057,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"Ghana mini market, 1 Choumert Road, London, SE15 4SE","GHANA MINI MARKET, 1 CHOUMERT ROAD, LONDON, SE15 4SE",51.46808021,-0.067725876,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"God bless new cafe, 14 Choumert Road, London, SE15 4SE","GOD BLESS, 14 CHOUMERT ROAD, LONDON, SE15 4SE",51.46821551,-0.068296079,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR04,Additional Mail / Packet Addressee,"Goitom behr, 144 Rye Lane, London, SE15 4RZ","BIG GIRL, 104 RYE LANE, LONDON, SE15 4RZ",51.46920425,-0.068268716,10091838251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"Golden noodle, 177 Queens Road, London, SE15 2ND","GOLDEN NOODLES, 177 QUEENS ROAD, LONDON, SE15 2ND",51.47353272,-0.056479743,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RD06,Self Contained Flat (Includes Maisonette / Apartment),"Golden taste, 18a Peckham Rye, London, SE15 4JR","28A PECKHAM RYE, LONDON, SE15 4JR",51.46576143,-0.066715251,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE02,Children’s Nursery / Crèche,"Gosling nursery, 106 Evelina Road, London, SE15 3HL","GOSLINGS NURSERY, 106 EVELINA ROAD, LONDON, SE15 3HL",51.46645762,-0.056607626,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RD06,Self Contained Flat (Includes Maisonette / Apartment),"Gosnells beverages ltd, Unit 10 Print Village, 58 Chadwick Road, London, SE15 4PU","2 & 5 & 8, WINDSOR COURT, 61 CHADWICK ROAD, LONDON, SE15 4PU",51.46793537,-0.073131199,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR06,Public House / Bar / Nightclub,"Gowlett arms, 62 Gowlett Road, London, SE15 4HY","GOWLETT ARMS, 62 GOWLETT ROAD, LONDON, SE15 4HY",51.46380939,-0.070497675,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI01,Care / Nursing Home,"Greenhive, 50 Brayards Road, London, SE15 2BQ","GREENHIVE HOUSE, 50 BRAYARDS ROAD, LONDON, SE15 2BQ",51.46863057,-0.061842595,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO01,Office / Work Studio,"Greggs, Unit 8 The Aylesham Centre, Rye Lane, London, SE15 5EW","TIGER MANAGEMENT, AYLESHAM CENTRE, RYE LANE, LONDON, SE15 5EW",51.47273616,-0.068681094,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"Greggs the bakers, 66 Peckham High Street, London, SE15 5DP","GREGGS, 66 PECKHAM HIGH STREET, LONDON, SE15 5DP",51.47306657,-0.070179086,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"Gregsons pharmacy ltd, 60 Nunhead Lane, London, SE15 3QE","SHEEL PHARMACY, 60 NUNHEAD LANE, LONDON, SE15 3QE",51.46444686,-0.058996545,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RD04,Terraced,"Guidetti fine foods & wines, Unit C Astbury Business Park, Astbury Road, London, SE15 2NW","64 ASTBURY ROAD, LONDON, SE15 2NW",51.47581255,-0.055677219,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RD06,Self Contained Flat (Includes Maisonette / Apartment),"H barry, 60 Gibbon Road, London, SE15 3XE","BERRY, 62 GIBBON ROAD, LONDON, SE15 3XE",51.46643322,-0.051886305,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"H.a smith & son, 111 Evelina Road, London, SE15 3HB","H A SMITH BUTCHERS, 113 EVELINA ROAD, LONDON, SE15 3HB",51.46621944,-0.056344196,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"Hagi vegetable & grocery, 143 Peckham High Street, London, SE15 5SL","HAGI VEG GROCERS, 143 PECKHAM HIGH STREET, LONDON, SE15 5SL",51.47416964,-0.06671977,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"Haji baba halal meats, 174 Rye Lane, London, SE15 4NB","RYE LANE NEWS, 164 RYE LANE, LONDON, SE15 4NB",51.46777916,-0.067465037,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"Harte's irish meat market, 59 Rye Lane, London, SE15 5EX","HARTES BUTCHERS, 59 RYE LANE, LONDON, SE15 5EX",51.4717692,-0.069485084,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"Hax international, 156 Rye Lane, London, SE15 4NB","HAX, 156 RYE LANE, LONDON, SE15 4NB",51.46796126,-0.067601321,10090287140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RD03,Semi-Detached,"Highshore school, Highshore School, Bellenden Road, London, SE15 5BB","40 BELLENDEN ROAD, LONDON, SE15 5BB",51.47260452,-0.072704071,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"Holland & barrett ltd, Unit 9 Aylesham Centre, Rye Lane, SE15 5EW","HOLLAND & BARRETT LTD, UNIT 9, AYLESHAM CENTRE, RYE LANE, LONDON, SE15 5EW",51.47273616,-0.068681094,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR06,Public House / Bar / Nightclub,"Hollydale tavern, 115 Hollydale Road, London, SE15 2TF","HOLLYDALE TAVERN, 115 HOLLYDALE ROAD, LONDON, SE15 2TF",51.46961771,-0.056286164,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RD06,Self Contained Flat (Includes Maisonette / Apartment),"Hoopers, 28 Ivanhoe Road, London, SE5 8DH","28 IVANHOE ROAD, LONDON, SE5 8DH",51.46571649,-0.079601899,10091664572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"Iceland frozen foods, 74 Rye Lane, London, SE15 5DQ","ICELAND FOODS PLC, 74 RYE LANE, LONDON, SE15 5DQ",51.47039957,-0.069099423,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR07,Restaurant / Cafeteria,"Il giardino restaurant, 7 Blenheim Grove, London, SE15 4QS","IL GIARDINO RESTAURANT, 7 BLENHEIM GROVE, LONDON, SE15 4QS",51.4694786,-0.069092232,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE03PS,Primary School,"In house catering john donne primary school, John Donne Primary School, Woods Road, London, SE15 2SW","JOHN DONNE PRIMARY SCHOOL, WOODS ROAD, LONDON, SE15 2SW",51.47304639,-0.061324249,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"Isatus kitchen, 4 Station Way, London, SE15 4RX","3 STATION WAY, LONDON, SE15 4RX",51.46997522,-0.06921525,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE03PS,Primary School,"Iss caterhouse, 83 Peckham Road, London, SE5 8UH","OLIVER GOLDSMITH PRIMARY SCHOOL, 83 PECKHAM ROAD, LONDON, SE5 8UH",51.47472285,-0.077942787,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE03PS,Primary School,"Iss caterhouse, St James The Great School, Peckham Road, London, SE15 5LP","ST. JAMES THE GREAT CATHOLIC PRIMARY SCHOOL, PECKHAM ROAD, LONDON, SE15 5LP",51.47434694,-0.073120227,10000812518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE03PS,Primary School,"Iss caterhouse ltd, St Johns And St Clements Prima, Adys Road, London, SE15 4DY","ST. JOHNS & ST. CLEMENTS PRIMARY SCHOOL, ADYS ROAD, LONDON, SE15 4DY",51.46309333,-0.071794757,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"Iya pupa, 30 Choumert Road, London, SE15 4SE","TESSAS BARGAIN, 30 CHOUMERT ROAD, LONDON, SE15 4SE",51.46817721,-0.068700839,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"J & j butchers, 132 Rye Lane, London, SE15 4RZ","J & J BUTCHERS, 132 RYE LANE, LONDON, SE15 4RZ",51.4685338,-0.067965878,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"J & t fish & seafood, 7C Choumert Road, London, SE15 4SE","J & T FISH, 7C CHOUMERT ROAD, LONDON, SE15 4SE",51.46793339,-0.068639146,10009801326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"J f ayre ltd, 131 Evelina Road, London, SE15 3HB","J F AYRE LTD, 131 EVELINA ROAD, LONDON, SE15 3HB",51.46599414,-0.056857675,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"Jaffa food store, 168 Rye Lane, London, SE15 4NB","JAFFA FOODS, 168 RYE LANE, LONDON, SE15 4NB",51.4677345,-0.067352605,10090286043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"Jamaica spice ltd, 207 Rye Lane, London, SE15 4TP","TASTY BAKERY, 207 RYE LANE, LONDON, SE15 4TP",51.46767482,-0.06659118,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR04,Additional Mail / Packet Addressee,"Jb's soul food, 27a Peckham High Street, London, SE15 5EB","RAM JAM TAKEAWAY, 27A PECKHAM HIGH STREET, LONDON, SE15 5EB",51.47370559,-0.072398469,10091837438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"Jenny's, 12 Station Way, London, SE15 4RX","JENNYS, 12 STATION WAY, LONDON, SE15 4RX",51.4700244,-0.068925203,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,Dual Use,"Jerkiz caribbean cuisine, 100 Evelina Road, London, SE15 3HL","NKEMS AFRICAN QUISINE, 100 EVELINA ROAD, LONDON, SE15 3HL",51.46658152,-0.056487182,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR,Retail,"Julian supermarket, 137 Brayards Road, London, SE15 2BX","JULIAN SUPERMARKET, 137 BRAYARDS ROAD, LONDON, SE15 2BX",51.46973468,-0.057375476,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"K & k butchers, 146 Rye Lane, London, SE15 4RZ","K & K BUTCHERS, 146 RYE LANE, LONDON, SE15 4RZ",51.46827011,-0.067789843,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"K&a centre ltd, 90 Rye Lane, London, SE15 4RZ","K & A FOODS, 90 RYE LANE, LONDON, SE15 4RZ",51.46953202,-0.068514042,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RD08,Sheltered Accommodation,"Kairos, John Kitchen Centre, 22 Linden Grove, London, SE15 3LF","JOHN KITCHEN CENTRE MAINTENANCE, 22 LINDEN GROVE, LONDON, SE15 3LF",51.46341731,-0.059817642,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,Dual Use,"Kam foh, 19 Peckham High Street, London, SE15 5EB","KAM FOH, 19 PECKHAM HIGH STREET, LONDON, SE15 5EB",51.4737815,-0.072640064,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,Dual Use,"Kapadokya, 44 Peckham Rye, London, SE15 4JR","KAPADOKYA FISH SHOP, 44 PECKHAM RYE, LONDON, SE15 4JR",51.46538448,-0.066759978,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR04,Additional Mail / Packet Addressee,"Kashmir grocers, 18 Choumert Road, London, SE15 4SE","KASMIR GROCERS, 18 CHOUMERT ROAD, LONDON, SE15 4SE",51.46820794,-0.068382787,10091838253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"Katies, 165 Peckham Hill Street, London, SE15 5JZ","KATIES, 165 PECKHAM HILL STREET, LONDON, SE15 5JZ",51.47446131,-0.068593829,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"Katies kebab, 130 Peckham Hill Street, London, SE15 5JT","KATIES KEBABS, 130 PECKHAM HILL STREET, LONDON, SE15 5JT",51.47408957,-0.068955127,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RD06,Self Contained Flat (Includes Maisonette / Apartment),"Keerthanaa store, 97 Azenby Road, London, SE15 5AJ","7 AZENBY ROAD, LONDON, SE15 5AJ",51.46957128,-0.077468179,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP,Property Shell,"Kentucky fried chicken, 32 Rye Lane, London, SE15 5BS","32 RYE LANE, LONDON, SE15 5BS",51.47178837,-0.070103435,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"Kgf (kingdom gift centre), 208 Rye Lane, London, SE15 4NL","K G C CHRISTIAN GIFTS, 208 RYE LANE, LONDON, SE15 4NL",51.46666146,-0.066216489,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP,Property Shell,"Khan's bargain limited (grocery), 135 Rye Lane, London, SE15 4ST","KHANS BARGAIN LTD, 135 RYE LANE, LONDON, SE15 4ST",51.46980818,-0.06726411,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,Dual Use,"Khf, 35 Peckham High Street, London, SE15 5EB","35 PECKHAM HIGH STREET, LONDON, SE15 5EB",51.47359562,-0.071726321,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR09,Other Licensed Premise / Vendor,"Kim lien, 47 Peckham High Street, London, SE15 5EB","KIN LIEN MINI MARKET, 47 PECKHAM HIGH STREET, LONDON, SE15 5EB",51.47352325,-0.071153388,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"King valley fried chicken, 56 Gibbon Road, London, SE15 3XE","KING VALLEY FISH SHOP, 56 GIBBON ROAD, LONDON, SE15 3XE",51.46655807,-0.051823397,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"Kitchen 54, 119 Queens Road, London, SE15 2EZ","KITCHEN 54, 119 QUEENS ROAD, LONDON, SE15 2EZ",51.47391289,-0.059343542,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RD06,Self Contained Flat (Includes Maisonette / Apartment),"Kna food centre, 92 Rye Lane, London, SE15 4RZ","FLAT 3, NAWAZ COURT 92A, RYE LANE, LONDON, SE15 4RZ",51.46953202,-0.068514042,10090748862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"Kristal pharmacy, 127 Evelina Road, London, SE15 3HB","KRISTALS PHARMACY, 127 EVELINA ROAD, LONDON, SE15 3HB",51.46605609,-0.056797454,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"Krootown market, 5 Choumert Road, London, SE15 4SE","L P CORTURE, 5 CHOUMERT ROAD, LONDON, SE15 4SE",51.46792061,-0.068409319,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"Kumasi market, 74 Peckham High Street, London, SE15 5ED","DIVINE MONEY SHOP, 74 PECKHAM HIGH STREET, LONDON, SE15 5ED",51.47343453,-0.069587573,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RD06,Self Contained Flat (Includes Maisonette / Apartment),"Le petit jardin, 48 Rye Lane, SE15 5BY","FLAT 4, 38 RYE LANE, LONDON, SE15 5BY",51.47131658,-0.069849766,10009803690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"Lerryn's, 200 Rye Lane, London, SE15 4NF","LERRYNS CAFE, 200 RYE LANE, LONDON, SE15 4NF",51.46689535,-0.066220998,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"Lidl uk gmbh, 5 Bellenden Road, London, SE15 5BA","LIDL UK GMBH, 3 BELLENDEN ROAD, LONDON, SE15 5BA",51.47225192,-0.07055516,10000818822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR04,Additional Mail / Packet Addressee,"Lime tree house, Lime Tree House, 2 Dundas Road, London, SE15 2DL","MANAGERS OFFICE, 2A LIME TREE HOUSE, 2 DUNDAS ROAD, LONDON, SE15 2DL",51.47026233,-0.054487734,10091837929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"Lions fried chicken, 165 Queens Road, London, SE15 2ND","MORLEYS FRIED CHICKEN, 189 QUEENS ROAD, LONDON, SE15 2ND",51.47346028,-0.055906837,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"Little hut, 59 Peckham High Street, London, SE15 5EB","LITTLE HUT, 59 PECKHAM HIGH STREET, LONDON, SE15 5EB",51.47356793,-0.070589917,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE02,Children’s Nursery / Crèche,"Little jungle nursery, 60a Amott Road, London, SE15 4JD","LITTLE JUNGLE NURSERY, 60A AMOTT ROAD, LONDON, SE15 4JD",51.46393332,-0.071471417,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR04,Additional Mail / Packet Addressee,"Little winners day nursery, 281 Rye Lane, London, SE15 4UA","LITTLE WINNERS NURSERY, 281 RYE LANE, LONDON, SE15 4UA",51.4659981,-0.065798219,10091837739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"Lolak, 38 Choumert Road, London, SE15 4SE","LODAK AFRIQUE RESTAURANT, 38 CHOUMERT ROAD, LONDON, SE15 4SE",51.46811952,-0.06902003,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CI04,Warehouse / Store / Storage Depot,"London self storage centre, 37 Peckham Road, London, SE5 8UH","BUNGALOW, 37 PECKHAM ROAD, LONDON, SE5 8UH",51.47392782,-0.081561742,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR07,Restaurant / Cafeteria,"M manze, 105 Peckham High Street, London, SE15 5RS","M MANZE PIE & MASH, 105 PECKHAM HIGH STREET, LONDON, SE15 5RS",51.47401673,-0.068900604,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,Commercial,"Magic mind, 54 Linden Grove, London, SE15 3LF","54 LINDEN GROVE, LONDON, SE15 3LF",51.46247354,-0.058216506,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR06,Public House / Bar / Nightclub,"Man of kent, 2 Nunhead Green, London, SE15 3QF","MAN OF KENT, 2 NUNHEAD GREEN, LONDON, SE15 3QF",51.46475662,-0.058695463,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"Mango associates, 145 Peckham High Street, London, SE15 5SL","MANGO ACCESSORIES, 145 PECKHAM HIGH STREET, LONDON, SE15 5SL",51.47417767,-0.06666183,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CI03,Workshop / Light Industrial,"Mani caterers, 149 Copeland Road, London, SE15 3SN","PECKHAM CAR WASH, 141 COPELAND ROAD, LONDON, SE15 3SN",51.47000045,-0.065154518,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RD06,Self Contained Flat (Includes Maisonette / Apartment),"Marampa koya, 7 The Market, Choumert Road, London, SE15 4BG","SUNRISE CAFE, 7 THE MARKET, CHOUMERT ROAD, LONDON, SE15 4BG",51.468062,-0.067712248,10090285282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"Mason & white ltd, 147 Peckham Hill Street, London, SE15 5JZ","LLOYDS PHARMACY, 147 PECKHAM HILL STREET, LONDON, SE15 5JZ",51.47486878,-0.068763819,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"Mc neils, 26a Peckham Rye, London, SE15 4JR","MCNEILS, 26A PECKHAM RYE, LONDON, SE15 4JR",51.46581739,-0.066771482,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR07,Restaurant / Cafeteria,"Mcdonalds, 72 Rye Lane, London, SE15 5DQ","MCDONALDS RESTAURANTS LTD, 72 RYE LANE, LONDON, SE15 5DQ",51.47053712,-0.069479501,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"Mfc (mediterranean food centre), 261 Rye Lane, London, SE15 4UR","MAGNET LTD, CO OPERATIVE HOUSE, 261 RYE LANE, LONDON, SE15 4UR",51.46653539,-0.065660319,10013525420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RD06,Self Contained Flat (Includes Maisonette / Apartment),"Mighty fine kitchen ltd, Unit 11 Print Village, 58 Chadwick Road, London, SE15 4PU","2 & 5 & 8, WINDSOR COURT, 61 CHADWICK ROAD, LONDON, SE15 4PU",51.46793537,-0.073131199,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"Monley's, 2a Kirkwood Road, London, SE15 3XX","MONLEYS CHICKEN, 2A KIRKWOOD ROAD, LONDON, SE15 3XX",51.46602475,-0.057619432,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"Morleys fried chicken, 163 Rye Lane, London, SE15 4TL","APEX, 163 RYE LANE, LONDON, SE15 4TL",51.46857752,-0.067344913,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
