classification_code,classification_desc,fhrs_address,matched_address,matched_lat,matched_lng,uprn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RD06,Self Contained Flat (Includes Maisonette / Apartment),"Astar fish bar, 98 Evelina Road, London, SE15 3HL","A* FISH BAR, 98 EVELINA ROAD, LONDON, SE15 3HL",51.46657062,-0.056372465,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"Auntie sue variety store, Units 37 And 38 Rye Lane Mark, 48 Rye Lane, London, SE15 5BY","SKY ASSOCIATES LTD, RYE LANE MARKET, 48 RYE LANE, LONDON, SE15 5BY",51.47125225,-0.069766087,10000819121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR04,Additional Mail / Packet Addressee,"Aunty sue varieties store, Unit 39 Rye Lane Market, 48 Rye Lane, London, SE15 5BY","BRIDAL COLLECTIONS, RYE LANE MARKET, 48 RYE LANE, LONDON, SE15 5BY",51.47124327,-0.069766467,10091837495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"Avondale mini market, 63 Avondale Rise, London, SE15 4AJ","AVONDALE MINI MARKET, 63 AVONDALE RISE, LONDON, SE15 4AJ",51.46520743,-0.077320471,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO01,Office / Work Studio,"Bahar kebab, 157 Queens Road, London, SE15 2ND","BAHAR KEBAB, 157 QUEENS ROAD, LONDON, SE15 2ND",51.47351885,-0.056928882,10090749818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"Bajan spice, 28 Nunhead Green, London, SE15 3QF","BAJAN SPICE, 28 NUNHEAD GREEN, LONDON, SE15 3QF",51.46534138,-0.058166746,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"Bambuni, 143 Evelina Road, London, SE15 3HB","BAMBUNI, 143 EVELINA ROAD, LONDON, SE15 3HB",51.46571492,-0.057373439,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RD06,Self Contained Flat (Includes Maisonette / Apartment),"Bangura african food, Unit 18, 137 Rye Lane, London, SE15 4ST","FLAT 9, THALIA COURT, 137 RYE LANE, LONDON, SE15 4ST",51.46945584,-0.067710951,10013525748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CI03,Workshop / Light Industrial,"Bar story, Arch 213, Blenheim Grove, London, SE15 4QL","BAR STORY, 26 BLENHEIM GROVE, LONDON, SE15 4QL",51.46958126,-0.069865411,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"Barry's deli, 3 Station Way, London, SE15 4RX","3 STATION WAY, LONDON, SE15 4RX",51.46997522,-0.06921525,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"Barsat cash and carry, 82 Rye Lane, London, SE15 4RY","BARSAT CASH & CARRY, 82 RYE LANE, LONDON, SE15 4RY",51.46986879,-0.068758991,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"Belgo club, 56 Peckham High Street, London, SE15 5DP","CLUB 56, 56 PECKHAM HIGH STREET, LONDON, SE15 5DP",51.47309023,-0.070523676,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE03IS,Infant School,"Bellenden primary school, Bellenden Junior And Infant Sc, Reedham Street, London, SE15 4PF","BELLENDEN JUNIOR & INFANT SCHOOL, REEDHAM STREET, LONDON, SE15 4PF",51.46699579,-0.070680002,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"Bims african food ltd, 122 Rye Lane, London, SE15 4RZ","BIMS AFRICAN FOOD STORE, 102 RYE LANE, LONDON, SE15 4RZ",51.46924209,-0.068382303,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"Bims african store, 102 Rye Lane, London, SE15 4RZ","BIMS AFRICAN FOOD STORE, 102 RYE LANE, LONDON, SE15 4RZ",51.46924209,-0.068382303,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"Binder off licence, 149 Peckham High Street, London, SE15 5SL","BINDER LONDON LTD, 149 PECKHAM HIGH STREET, LONDON, SE15 5SL",51.47415662,-0.066475523,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"Bit by bit, 4 Atwell Road, London, SE15 4TW","LADIES BIT BY BIT, 2 ATWELL ROAD, LONDON, SE15 4TW",51.46819488,-0.067044328,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"Black elderly group southwark (b e, 86 Bellenden Road, London, SE15 4RQ","BLACK ELDERLY GROUP SOUTHWARK, ELIM HOUSE, 86 BELLENDEN ROAD, LONDON, SE15 4RQ",51.4700266,-0.07343185,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"Boots co plc, 20 Rye Lane, London, SE15 5BS","BOOTS THE CHEMISTS LTD, 20 RYE LANE, LONDON, SE15 5BS",51.47230959,-0.070081439,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"Bottles off licence, 27 Peckham High Street, London, SE15 5EB","BOTTLES OFF LICENCE, 27 PECKHAM HIGH STREET, LONDON, SE15 5EB",51.47370559,-0.072398469,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
