fhrs_address,DPA_MATCH_DESCRIPTION,DPA_UPRN,plot_address,plot_lng,plot_lat
"Bellenden primary school, Bellenden Junior And Infant Sc, Reedham Street, London, SE15 4PF",GOOD,2.00E+11,"BELLENDEN JUNIOR & INFANT SCHOOL, REEDHAM STREET, LONDON, SE15 4PF",-0.070680002,51.46699579
"Bims african food ltd, 122 Rye Lane, London, SE15 4RZ",GOOD,2.00E+11,"122, RYE LANE, LONDON, SE15 4RZ",-0.068043096,51.4687509
"Bims african store, 102 Rye Lane, London, SE15 4RZ",GOOD,2.00E+11,"BIMS AFRICAN FOOD STORE, 102, RYE LANE, LONDON, SE15 4RZ",-0.068382303,51.46924209
"Binder off licence, 149 Peckham High Street, London, SE15 5SL",GOOD,2.00E+11,"BINDER LONDON LTD, 149, PECKHAM HIGH STREET, LONDON, SE15 5SL",-0.066475523,51.47415662
"Bit by bit, 4 Atwell Road, London, SE15 4TW",GOOD,10000817605,"4, MARSDEN ROAD, LONDON, SE15 4EE",-0.075038914,51.46365922
"Black elderly group southwark (b e, 86 Bellenden Road, London, SE15 4RQ",GOOD,2.00E+11,"BLACK ELDERLY GROUP SOUTHWARK, ELIM HOUSE, 86, BELLENDEN ROAD, LONDON, SE15 4RQ",-0.07343185,51.4700266
"Boots co plc, 20 Rye Lane, London, SE15 5BS",EXACT,2.00E+11,"BOOTS THE CHEMISTS LTD, 20, RYE LANE, LONDON, SE15 5BS",-0.070081439,51.47230959
"Bottles off licence, 27 Peckham High Street, London, SE15 5EB",EXACT,2.00E+11,"BOTTLES OFF LICENCE, 27, PECKHAM HIGH STREET, LONDON, SE15 5EB",-0.072398469,51.47370559
"Bp  connect, 95 Peckham Road, London, SE15 5LJ",GOOD,1.00E+11,"95, WICKHAM ROAD, LONDON, SE4 1NH",-0.033349001,51.4615914
"Brayards chicken, 128 Brayards Road, London, SE15 2BU",EXACT,2.00E+11,"BRAYARDS CHICKEN, 128, BRAYARDS ROAD, LONDON, SE15 2BU",-0.056880284,51.46952864
"Breakfast club, Oliver Goldsmith Primary Schoo, Peckham Road, London, SE5 8UH",GOOD,2.00E+11,"OLIVER GOLDSMITH PRIMARY SCHOOL, 83, PECKHAM ROAD, LONDON, SE5 8UH",-0.077942787,51.47472285
"Brick brewery, Railway Arch 209, Blenheim Grove, London, SE15 4QL",GOOD,2.00E+11,"RAILWAY ARCH 209-210, BLENHEIM GROVE, LONDON, SE15 4QL",-0.070823386,51.46939919
"Burger king, 46-52 Peckham High Street, London, SE15 5DP",GOOD,2.00E+11,"47A, PECKHAM HIGH STREET, LONDON, SE15 5EB",-0.071168536,51.47350551
"Butt seafood ltd, 30 Rye Lane, London, SE15 5BS",EXACT,2.00E+11,"UK FOODS, 30, RYE LANE, LONDON, SE15 5BS",-0.070113274,51.47189645
"Cafe al ayaan, Unit 17, 137-139 Rye Lane, London, SE15 4ST",PARTIAL,2.00E+11,"SELECT & SAVE, UNIT 17, AYLESHAM CENTRE, RYE LANE, LONDON, SE15 5EW",-0.068681094,51.47273616
